year,cbsacode,Sample_Size,Data_value,Data_value_unit,Data_value_type,population,total_adult_obesity,total_adult_smoking,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_or_fair_health,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime,total_poor_physical_health_days,total_poor_mental_health_days,depression_twitter19,depression_twitter10,CENSUS2019POP,CENSUS2010POP,Park_Area_Acres,Weighted_RESP,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n
2018,10420,107,24.01,%,Crude Prevalence,702221,171725.32,109804.1873,27306.579,51005.52183,100306.3758,34.23047501,0.01395,53.63636799,7609.789379,142085.402,84531.3445,52208.89306,0.005932279,74077.30976,3012.144822,37212.95624,2214.126913,44052.92537,45469.76663,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2019,10420,96,18.44,%,Crude Prevalence,703505,164115.378,110268.9142,25611.824,51364.20151,100731.3717,38.100806,0.01617,57.0163653,7902.843946,135654.543,84891.18084,60785.40275,0.005830295,74230.10072,3717.815421,34012.36038,1969.087281,44133.44979,45552.98724,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2020,10420,147,25.57,%,Crude Prevalence,704845,165646.378,104248.742,24180.833,50466.98541,104677.2099,38.90063001,0.01838,54.65687345,8283.612091,149147.982,95500.37478,59936.44709,0.005799184,74470.13651,3724.04473,33504.99218,1972.116437,45178.3411,52343.99122,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2021,10420,135,23.28,%,Crude Prevalence,703479,170733.393,128184.4172,27588.436,38583.20682,99738.43703,40.68256489,0.01931,52.96342209,9089.097209,145055.369,96135.85403,57777.29227,0.005949293,74283.78316,4097.538357,36875.0473,1968.601831,47161.99719,56212.367,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2022,10420,170,26.26,%,Crude Prevalence,701449,196448.068,119864.974,21048.528,39253.45786,103789.5819,44.8387194,0.02086,56.27696754,9615.892756,155588.043,103997.69,57907.2625,0.005849518,74238.94293,4150.724677,39563.52226,1961.681334,48627.31292,59251.68222,,,,,41598.15136,0.216675108,64850.53641,56107.79674,14168.44522,4957.275593,484.4305285,53.11438995
2015,10580,176,19.39,%,Crude Prevalence,877905,180415.911,123427.595,30142.162,56826.55979,131820.092,20.79556983,0.01634,65.0330842,10266.40073,159616.284,95415.939,48762.26673,0.00664906,184680.4213,3149.119964,60739.85461,2497.195127,18399.39667,17739.37067,,,,,19106.72324,0.186304925,,,,,,
2016,10580,438,15.11,%,Crude Prevalence,880167,181857.661,99740.939,30302.017,56709.99999,137133.377,21.40677402,0.01724,61.66468706,9768.388622,159200.411,80928.766,50435.91025,0.006801661,184874.2326,3285.831358,57967.17057,2503.638955,18763.88467,20029.19533,,,,,19106.72324,0.186304925,,,,,,
2017,10580,133,24.01,%,Crude Prevalence,881830,184887.492,106048.9279,26823.331,56607.89806,142989.3552,23.68059335,0.01799,59.57378047,10086.85537,156990.503,81345.78531,50117.32657,0.006795013,185251.8036,3573.040094,45987.33004,2370.163812,19595.93455,21227.04975,,,,,19106.72324,0.186304925,,,,,,
2018,10580,512,17.17,%,Crude Prevalence,881839,191443.208,111890.0316,25415.838,56352.99496,149386.4049,23.19033115,0.01893,60.18707517,10409.37348,163658.246,93098.29615,50809.6125,0.006998585,185366.0883,3831.776468,35793.82292,2368.218844,20368.11087,22495.88983,,,,,19106.72324,0.186304925,,,,,,
2019,10580,136,19.41,%,Crude Prevalence,886188,200076.418,112795.0317,23491.551,56105.17532,150614.9262,23.04293663,0.02003,59.19265102,10769.26471,153908.756,93811.69474,51831.1894,0.007024038,186345.7728,3900.61038,30149.88968,2497.406891,20466.76176,22604.66377,,,,,19106.72324,0.186304925,,,,,,
2020,10580,176,19.39,%,Crude Prevalence,883169,200337.548,103449.4473,23510.951,57533.24374,144393.3528,23.25904304,0.02127,57.15962115,10550.82146,153842.895,97078.90047,52189.6361,0.006752936,185821.382,4172.276089,28615.20401,2486.953989,19164.27073,24055.78462,,,,,19106.72324,0.186304925,,,,,,
2021,10580,594,19.03,%,Crude Prevalence,880381,205954.313,126915.0842,24264.287,41875.35688,161265.0745,21.09888818,0.02237,55.65288724,10615.37312,142682.778,100823.3927,51975.76881,0.006678082,185267.8167,4134.117872,27740.25687,2478.509269,21092.4912,24552.18065,,,,,19106.72324,0.186304925,,,,,,
2022,10580,195,21.65,%,Crude Prevalence,878550,221372.562,113873.653,20062.841,40859.39274,159881.9848,22.50960732,0.02385,56.25351015,10952.77229,173436.597,105383.647,54803.97599,0.006802262,185148.6715,4195.789754,26468.17277,2471.030899,20797.58752,25893.03782,,,,,19106.72324,0.186304925,,,,,,
2011,10740,720,21.78,%,Crude Prevalence,857903,135700.6936,123687.7871,41015.7804,76095.77077,85547.99392,69.15288,0.001757791,149.082893,73774.102,114322.3291,97397.00081,67685,0.009477074,87515.802,3814.313737,146799.0696,0,26900.99,25148.29667,,,,,36984.81568,0.14547557,,,,,,
2012,10740,719,21.22,%,Crude Prevalence,857903,137515.2575,121870.5973,50706.22227,78336.43226,81545.54762,70.4095132,0.001757791,144.9052887,73315.92643,111885.0708,98867.36948,68080.80679,0.009477074,87515.802,4367.476715,130706.983,6616.876057,27002.93833,25890.67417,,,,,36984.81568,0.14547557,,,,,,
2013,10740,437,20.25,%,Crude Prevalence,898642,144806.15,128118.958,57158.237,82138.06808,88086.682,70.45251847,0.004918293,134.3705032,38077.77986,117791.26,99962.936,66545.41705,0.007162179,80094.10842,5438.056199,137761.368,6328.697496,28128.47833,27067.325,,,,,36984.81568,0.14547557,,,,,,
2014,10740,416,22.79,%,Crude Prevalence,901700,144099.839,122729.24,52622.632,83334.04736,88399.428,70.63639704,0,134.6905187,37514.22073,124465.479,101291.149,66746.45407,0.007741431,80031.84993,4692.213578,143219.7752,5971.315125,27765.03083,26961.58833,,,,,36984.81568,0.14547557,,,,,,
2015,10740,325,20.84,%,Crude Prevalence,902797,146384.17,123292.73,56990.93199,84936.37265,88858.798,61.35873631,0.02951,122.6888818,36982.8456,120846.005,101774.221,64617.65398,0.00766201,79873.77767,4955.706558,132951.9992,5889.285898,27790.85,26986.35917,,,,,36984.81568,0.14547557,,,,,,
2016,10740,251,20.47,%,Crude Prevalence,904587,149831.178,117047.004,50336.12699,83618.42016,109241.987,59.92730543,0.03107,114.8663704,35821.98336,123781.099,117670.251,65397.81532,0.008008372,79922.94209,5629.83618,138785.0587,5899.621151,29053.54417,27993.64083,,,,,36984.81568,0.14547557,,,,,,
2017,10740,360,22.02,%,Crude Prevalence,907301,156051.673,112905.5923,49859.432,82408.70861,97792.85421,56.4750078,0.03334,109.3613561,35167.1778,113479.134,120706.0229,67282.67959,0.008102329,80137.325,4985.057987,104678.8785,6193.930177,28565.40883,28274.67609,,,,,36984.81568,0.14547557,,,,,,
2018,10740,327,18.17,%,Crude Prevalence,909906,158576.491,101205.1816,48950.863,80576.32484,114501.1049,58.11460324,0.03487,113.9961772,34026.28453,118478.02,131213.5916,69444.87172,0.008078737,80398.02256,5934.622576,83786.18823,6200.811816,30489.71756,30130.6766,,,,,36984.81568,0.14547557,,,,,,
2019,10740,254,16.87,%,Crude Prevalence,910726,169008.34,101728.2202,39887.968,78233.47709,115075.2526,62.79538682,0.0362,120.3614244,32480.16045,111184.23,131879.3723,73234.67517,0.008132189,80726.74976,5907.599882,65431.67294,7503.035347,30520.5689,30158.36785,,,,,36984.81568,0.14547557,,,,,,
2020,10740,272,19.38,%,Crude Prevalence,915927,173594.907,111266.4546,43558.53801,75990.13251,117863.3117,70.60892055,0.03784,125.9235767,32074.79481,120540.039,130765.5689,74846.45692,0.008137883,81433.73683,6222.676166,66575.57036,7532.894633,31590.77966,34475.11572,,,,,36984.81568,0.14547557,,,,,,
2021,10740,332,22.09,%,Crude Prevalence,918018,183504.862,112194.6591,39448.06,58168.7972,118926.7259,79.24069972,0.039,128.9385696,30627.351,116527.003,137739.4572,76956.32435,0.008214783,81629.39763,6471.018078,73581.38458,7542.335018,32317.23984,34960.81584,,,,,36984.81568,0.14547557,,,,,,
2022,10740,251,21.5,%,Crude Prevalence,923630,213458.003,107677.242,33040.228,57248.45249,116757.2363,87.91052101,0.04104,139.1179106,27323.20399,171723.335,142575.256,84973.95759,0.008413256,82276.88517,6739.247582,73131.4252,7579.911076,30433.18112,33943.09386,,,,,36984.81568,0.14547557,,,,,,
2011,10900,190,20.59,%,Crude Prevalence,816012,174990.5171,135992.9017,24974.2502,52683.32123,108036.9921,0,0.003242436,103.386404,40602.136,158619.8599,87644.86346,52149.14895,0.007402398,157443.539,2027.464992,65794.53688,2208.332807,25304.95583,24480.25417,,,,,104714.6338,0.239066719,,,,,,
2012,10900,242,18.24,%,Crude Prevalence,816012,184265.9586,125123.0978,30922.86793,54722.4642,104876.2161,29.53800874,0.003242436,102.6480359,43096.70377,158061.0972,90656.8781,50811.32262,0.007402398,157443.539,1787.567599,71204.62605,2039.244031,24234.1075,24974.62833,,,,,104714.6338,0.239066719,,,,,,
2013,10900,195,19.18,%,Crude Prevalence,824916,187044.159,128288.474,31590.666,55627.99178,107030.453,26.94792445,0.003304176,96.9289261,19880.62472,160444.8,88341.229,48288.27855,0.006876093,137509.6414,2147.619144,74942.448,1982.14386,24846.665,25253.8425,,,,,104714.6338,0.239066719,,,,,,
2014,10900,186,18.45,%,Crude Prevalence,827171,182860.221,126163.204,30030.114,56001.83558,112116.049,27.05474749,0,97.16912515,21325.35606,166373.806,87924.966,48423.49158,0.00698473,137465.2762,2451.043909,75532.6871,1903.86173,24573.26417,25242.08083,,,,,104714.6338,0.239066719,,,,,,
2015,10900,139,17.03,%,Crude Prevalence,827048,189125.223,126545.495,31574.086,56175.60407,112484.484,29.93875308,0.01097,89.42254234,21834.58896,153981.52,88220.597,50058.51084,0.006759957,137313.3713,2633.259947,76535.16323,1823.637137,24569.51833,25239.03917,,,,,104714.6338,0.239066719,,,,,,
2016,10900,117,19.44,%,Crude Prevalence,829835,187205.665,114521.352,29560.285,57040.46159,112713.717,32.25419309,0.01202,82.36359155,22448.60716,156849.287,96530.748,51048.56356,0.006748207,137303.7528,2450.63423,75619.48671,1831.295298,24687.6425,26577.85083,,,,,104714.6338,0.239066719,,,,,,
2017,10900,154,19.19,%,Crude Prevalence,832327,194662.65,109038.6517,28672.84,57833.53709,119706.6241,27.0093042,0.01292,78.95717793,22595.51656,151886.342,98017.42822,50606.52874,0.006855856,137306.0051,2433.788567,63825.58998,1626.939632,24249.34635,26022.29138,,,,,104714.6338,0.239066719,,,,,,
2011,11260,241,17.54,%,Crude Prevalence,374553,74071.41974,58399.18523,10178.96908,28209.73359,49694.18172,25.309652,0.001501953,55.901125,17944.814,60960.59091,36882.39735,27108.01744,0.003628552,68165.241,2549.323455,54654.50878,0,21961.16167,19316.84333,,,,,926977.9378,0.22558668,,,,,,
2012,11260,289,17.96,%,Crude Prevalence,374553,73464.25144,55770.62064,12469.42178,28146.8139,50842.94473,23.93508598,0.001501953,51.51750958,19400.5773,62094.10626,34993.73356,26509.45867,0.003628552,68165.241,2626.018087,60203.25995,3044.388204,21961.16167,19316.84333,,,,,926977.9378,0.22558668,,,,,,
2013,11260,266,16.47,%,Crude Prevalence,387516,75955.021,55303.185,13092.089,29184.58041,53267.705,23.15109096,0.001473352,38.84746409,8074.441953,64204.457,36901.522,26172.01,0.003201759,58412.31833,3100.402658,57099.739,3436.555149,22572.21333,19496.15667,,,,,926977.9378,0.22558668,,,,,,
2014,11260,308,16.1,%,Crude Prevalence,392535,77699.339,52880.811,12876.492,30047.91091,53797.234,23.44039855,0,39.39877128,7494.189814,62607.606,36982.784,26508.55674,0.003349438,59532.79561,3016.590135,59394.5979,3297.527879,22215.59167,20096.375,,,,,926977.9378,0.22558668,,,,,,
2015,11260,184,16.55,%,Crude Prevalence,396142,80909.786,53416.394,10872.852,29700.28901,54288.779,21.422416,0.00883,33.09707155,7394.180388,55915.279,37325.289,27281.4577,0.003389157,60266.36052,2875.734888,60703.80711,3260.866784,22422.42333,20283.06,,,,,926977.9378,0.22558668,,,,,,
2016,11260,171,18.16,%,Crude Prevalence,398892,81584.944,51243.952,14151.234,30458.92226,67958.658,22.24007,0.00948,32.62286425,7776.204014,56643.66,35730.556,28235.31608,0.003455557,61621.73504,3142.506975,57552.59721,3283.503575,20270.87333,18941.23333,,,,,926977.9378,0.22558668,,,,,,
2017,11260,199,19.64,%,Crude Prevalence,399790,82926.15401,47005.44888,12407.42,30618.50403,66270.86766,24.290685,0.0102,31.85273795,7670.052982,51888.507,39134.43958,28515.12882,0.003581433,63142.36331,2926.63838,51822.28536,3343.489461,23063.89565,21882.20004,,,,,926977.9378,0.22558668,,,,,,
2018,11260,161,20,%,Crude Prevalence,402557,85971.172,47686.28026,10437.66,29800.23835,60382.96271,26.97418557,0.01092,33.54278451,7478.268401,54671.562,40223.26241,29616.81142,0.003648503,64766.26236,2893.810565,42410.46552,3366.630198,23685.46735,21798.53551,,,,,926977.9378,0.22558668,,,,,,
2019,11260,184,17.21,%,Crude Prevalence,400888,89271.286,47702.00421,12461.974,28039.5107,60374.36777,29.219916,0.01163,35.38635909,8294.643818,55048.18,40207.07917,30824.10347,0.003688623,65698.1948,2893.432132,39784.19174,4035.567897,23601.73994,21727.99776,,,,,926977.9378,0.22558668,,,,,,
2020,11260,201,16.62,%,Crude Prevalence,399148,97113.282,46902.78924,12037.499,27779.2528,63885.6676,30.40367922,0.01359,36.54077132,7937.369037,56080.024,43416.21651,29824.50758,0.003703743,66124.34024,2909.842398,38961.20265,4018.052062,23699.93525,21594.01416,,,,,926977.9378,0.22558668,,,,,,
2021,11260,384,20.38,%,Crude Prevalence,396317,93665.476,53219.28604,11270.66,20503.85547,54300.62164,32.88242092,0.01616,38.92209722,7363.066036,53083.402,44289.18624,29469.99188,0.003832949,66334.25186,3002.906514,37203.22763,3989.553597,25414.91676,26699.74843,,,,,926977.9378,0.22558668,,,,,,
2022,11260,509,21.39,%,Crude Prevalence,397308,93148.179,49554.693,8904.824999,18393.72988,62477.42108,33.40274704,0.02043,39.2681037,6915.936566,64258.731,47277.901,30861.91172,0.003938975,67250.56253,3157.211056,33659.5076,3999.52957,23260.7383,26362.82991,,,,,926977.9378,0.22558668,,,,,,
2011,11700,112,21.93,%,Crude Prevalence,355563,65562.23144,62948.36119,14899.42379,21551.41842,33606.46212,18.505423,0.001886989,54.78039,13209.01,58384.5301,46115.62993,27700.17004,0.004513264,136543.076,866.138707,47058.95106,0,14821.17222,13830.69222,,,,,3743.622962,0.258663185,223.0936114,261.4255184,103.8791897,33.75879378,0.484322616,0.023148479
2012,11700,115,19.76,%,Crude Prevalence,355563,67607.29625,60013.86663,18146.47884,21097.81643,33903.81802,18.2694069,0.001886989,52.54447815,15813.89342,60049.90601,45179.23357,26222.22936,0.004513264,136543.076,801.462617,48721.19574,935.4701845,14494.24222,13513.54333,,,,,3743.622962,0.258663185,223.0936114,261.4255184,103.8791897,33.75879378,0.484322616,0.023148479
2011,12060,548,13.45,%,Crude Prevalence,11007904,2127953.126,1377802.871,481354.2991,955430.9076,1210890.498,886.023156,0.03916898,1588.741098,815967.634,1781634.619,1071245.303,767408.8912,0.085674756,1691744.892,42173.64443,1497230.313,0,20991.49111,20860.1163,,0.098765432,,5298377,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2012,12060,383,14.51,%,Crude Prevalence,11007904,2126632.729,1301206.438,626801.705,979400.1752,1192521.521,906.8430846,0.03916898,1540.148707,848367.3817,1773535.667,1055944.515,752999.5261,0.085674756,1691744.892,41226.08113,1778630.835,54707.96657,20184.79357,20011.01952,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2013,12060,561,15.61,%,Crude Prevalence,10778006,2108980.838,1225172.464,648566.058,934415.1732,1187324.117,839.0578687,0.040062431,1397.098933,458246.207,1759533.918,1032944.172,726887.0839,0.069448685,1207298.361,45058.73935,1868764.554,48982.04552,19018.46726,19380.87095,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2014,12060,471,17.31,%,Crude Prevalence,10940770,2147664.788,1212213.332,666796.16,953980.3698,1221926.212,853.4177629,0,1415.129309,460064.4198,1826272.076,1008533.255,737471.7523,0.07106364,1212535.639,55514.39219,1863722.919,46149.46002,21401.82264,22356.72125,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2015,12060,333,14.58,%,Crude Prevalence,11071802,2201242.064,1228273.883,639238.484,974946.7709,1238219.559,773.6698958,0.118940001,1291.939438,450516.057,1769852.94,1021494.638,702435.2363,0.073128926,1224253.704,53354.79384,1788066.166,45834.27881,21655.79,22619.84111,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2016,12060,341,13.31,%,Crude Prevalence,11254584,2279592.36,1241024.998,650734.326,998298.9453,1385206.066,764.8368998,0.129839999,1236.785118,439225.6591,1842648.546,1288002.674,708257.8489,0.076386861,1240320.344,33561.41356,1843935.605,46488.85884,22945.7454,23415.26644,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2017,12060,454,15.49,%,Crude Prevalence,11448004,2415256.802,1364860.676,597392.542,1012067.288,1453968.539,748.9257227,0.14364,1165.925416,437914.6499,1801098.332,1346883.666,728620.3349,0.078339986,1256862.43,53065.92802,1574000.869,45881.93216,23520.49426,23581.39234,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2018,12060,701,15.62,%,Crude Prevalence,11605352,2489543.676,1367520.397,561573.182,1020696.334,1438144.493,785.5909308,0.156280001,1204.346523,429227.0829,1917417.104,1362151.022,759906.8474,0.079370648,1274176.385,39326.20703,1386135.972,46444.74089,23455.43922,23364.17374,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2019,12060,470,14.76,%,Crude Prevalence,11798020,2557412.596,1395929.57,506550.636,1012667.177,1468115.987,815.0929944,0.166920001,1263.623502,424985.4833,1967997.138,1390116.001,787242.5804,0.080938868,1296731.953,68450.80572,1306733.212,47327.0479,23842.04082,23751.14495,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2020,12060,560,16.24,%,Crude Prevalence,11927812,2683723.418,1373353.91,487329.93,1003312.011,1511545.192,846.1900035,0.183719998,1314.572697,413867.8956,2265031.746,1446957.468,792341.2015,0.081540537,1316631.292,68957.1839,1361570.493,47747.81763,22035.69811,24345.38943,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2021,12060,489,15.07,%,Crude Prevalence,12069794,2771368.762,1424989.304,455021.19,810816.4557,1629566.711,885.4193708,0.196260001,1349.032629,419525.0737,2187092.228,1539263.34,795204.4206,0.084090599,1339547.392,67081.71671,1399781.001,48246.58644,25429.30641,27735.13905,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2022,12060,651,17.93,%,Crude Prevalence,12205374,3002002.196,1483138.436,456112.75,815742.7103,1663082.501,969.437681,0.216900001,1422.480707,410561.2744,2570901.9,1728136.724,839111.4878,0.085944294,1363107.404,66409.94791,1396160.478,48710.41006,27988.91381,33108.35262,,,,,139783.192,0.407442606,327625.4554,265383.8288,71862.88896,16533.55319,4626.848338,150.7369667
2011,12100,154,16.17,%,Crude Prevalence,367803,74505.75207,64045.90245,13405.39918,29780.12897,53380.95808,0,0.000792999,61.181236,30772.975,70291.37885,49646.244,31185.29386,0.002567873,54517.649,1336.769265,42127.24432,1784.255373,24039.745,22068.18,,0.1,,371814,17415.70591,0.241268681,,,,,,
2012,12100,160,16.35,%,Crude Prevalence,367803,78515.03055,61809.70453,15632.34579,29908.0628,52261.20494,20.98316115,0.000792999,57.272536,33040.63133,71460.75149,50974.40025,30024.03952,0.002567873,54517.649,1400.076859,40702.33544,1762.833142,24785.3,21587.725,,,,,17415.70591,0.241268681,,,,,,
2011,12260,206,15.61,%,Crude Prevalence,547067,128218.4012,88740.92872,36516.08551,56919.31089,56390.56457,40.62289141,0.001574121,109.691289,11793.207,106603.2191,69047.85134,52819.3126,0.005602382,164640.612,3111.371576,68229.85873,2255.746986,9499.198095,8957.327619,,0.125,,564873,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
2012,12260,202,19.09,%,Crude Prevalence,547067,128477.6579,84629.47614,39586.47977,60181.11515,56291.22404,47.39271142,0.001574121,107.4736667,13959.89086,106427.1576,68426.76243,52449.62849,0.005602382,164640.612,2926.677489,75517.25829,2204.840343,9411.761905,9135.245238,,,,,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
2013,12260,163,16.7,%,Crude Prevalence,569720,135152.941,86448.59599,39697.003,59943.87859,61571.524,43.95936506,0.001785607,101.523998,6585.51461,111993.73,69026.76656,51679.57206,0.003838591,157037.8751,3917.618292,81569.175,2323.583845,11066.29889,9920.707222,,,,,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
2014,12260,168,20.13,%,Crude Prevalence,575898,137704.453,88216.598,42909.922,60482.63128,67929.21208,44.26065175,0,102.3851625,7035.696345,115806.986,68494.838,52145.92434,0.003996673,157870.4959,3334.191267,81860.62031,2229.00973,9302.259524,10125.815,,,,,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
2015,12260,150,19.39,%,Crude Prevalence,580270,137391.708,88965.299,41910.934,60591.96204,68548.1918,50.57601896,0.00717,101.9585815,7297.406822,115968.697,69041.118,50974.97033,0.00402289,158804.2232,2886.722131,82923.26238,2036.669377,9361.087619,10200.84167,,,,,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
2016,12260,147,14.6,%,Crude Prevalence,583632,144853.501,81114.278,39729.8,59690.4084,65532.784,50.34780414,0.00768,96.61956167,6630.662961,116717.487,81424.629,50640.43747,0.004257948,159259.9032,2680.103091,78591.90002,2036.585888,11122.69905,11219.89143,,,,,3976.123756,0.400426965,13491.4752,13734.12377,3846.567863,897.8696606,18.08372056,2.012860177
