Locationabbr,Locationdesc,year,Sample_Size,Data_value,Data_value_unit,Data_value_type,countyname_combined,fips_combined,adult_population,adult_population18_65,population,total_65_and_older,total_adult_obesity,total_adult_smoking,total_below_18_years_of_age,total_children_in_poverty,total_children_in_single-parent_households,total_excessive_drinking,total_female,total_homicides,total_mental_health_providers,total_motor_vehicle_crash_deaths,total_not_proficient_in_english,total_physical_inactivity,total_poor_mental_health_days,total_poor_or_fair_health,total_poor_physical_health_days,total_premature_death,total_primary_care_physicians,total_rural,total_sexually_transmitted_infections,total_uninsured_adults,total_violent_crime
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2020.0,176,19.39,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,710711.9999956791,556493.0000082505,883169.0,154218.9999874286,200337.54799840183,103449.4472666413,172457.0000043209,23510.95100140747,57533.2437413724,144393.35282150062,450391.0000029949,22.44007582402179,4146.908272986212,57.15962115157052,10550.8214554119,153842.8949988907,120278.92309500839,97078.90047455812,95821.35363842011,52189.63609766233,12889.765101084982,185821.3819672899,4172.276089,28615.20400693206,2486.9539891944014
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2021.0,594,19.03,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,709881.0000109134,551582.0000024813,880381.0,158299.0000084322,205954.3130028721,126915.08423277218,170499.9999890866,24264.286998589436,41875.35687885065,161265.07451180377,449398.9999836683,20.355977512414405,3907.9844747898583,55.65288723899296,10615.3731219837,142682.77800203918,122760.9032464975,100823.39265965899,105462.45601521386,51975.7688080099,12772.07352215622,185267.81672795658,4134.117872,27740.25686775973,2478.5092685791014
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2022.0,195,21.65,%,Crude Prevalence,ALBANY; RENSSELAER; SARATOGA; SCHENECTADY; SCHOHARIE,36001; 36083; 36091; 36093; 36095,709315.0000111772,546562.0000136072,878550.0,162752.99999757,221372.5620030632,113873.65300148028,169234.9999888228,20062.84099938417,40859.39273543696,159881.9848214189,448991.0000132472,21.71196450144405,3645.4347181594544,56.25351014501899,10952.7722881714,173436.59700241408,129465.189087924,105383.64700132827,103987.93760597766,54803.97599289177,12504.264134648298,185148.6715349358,4195.789754,26468.172766015417,2471.0308988389083
10740,"Albuquerque, NM Metropolitan Statistical Area",2011.0,720,21.78,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,646133.629,542581.019,857903.0,103552.61,135700.69362099998,123687.787094,211769.37099999998,41015.780399,76095.77076599999,85547.993919,434395.179,69.15288000000001,,149.082893,73774.102,114322.329054,100593.18666666668,97397.00081299999,107603.96,67685.000001,12356.913866174244,87515.802,3814.3137370000004,146799.069585,0.0
10740,"Albuquerque, NM Metropolitan Statistical Area",2012.0,719,21.22,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,646133.629,542581.019,857903.0,103552.61,137515.257491,121870.59727700001,211769.37099999998,50706.22226899999,78336.43225599048,81545.54762299999,434395.179,69.0573828,,144.90528874206808,73315.9264346119,111885.07079,103562.69666666667,98867.369479,108011.75333333334,68080.8067868,12356.913866174244,87515.802,4367.476715,130706.982953,6616.876056728388
10740,"Albuquerque, NM Metropolitan Statistical Area",2013.0,437,20.25,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,680207.9999897138,566627.9999624448,898642.0,113580.0000272688,144806.14999759995,128118.95799824756,218434.0000102864,57158.23700231291,82138.06808262042,88086.68199872483,456575.000008372,69.17108891515366,22552.965663472816,134.37050315913405,38077.7798606066,117791.25999807744,108269.3,99962.93599852051,112513.91333333333,66545.41704720001,15108.362785633333,80094.1084181335,5438.056199000001,137761.3679912066,6328.697495549981
10740,"Albuquerque, NM Metropolitan Statistical Area",2014.0,416,22.79,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,685603.0000049291,565874.9999819008,901700.0,119728.0000230283,144099.8390008488,122729.24000095119,216096.99999507092,52622.63199864673,83334.04736332939,88399.42800065059,458257.2732570637,69.38136131456086,0.0,134.690518692509,37514.2207290309,124465.47900080019,107846.35333333333,101291.14900071107,111060.12333333335,66746.454071,14169.106056606612,80031.8499299561,4692.213578,143219.77522470342,5971.315125478051
10740,"Albuquerque, NM Metropolitan Statistical Area",2015.0,325,20.84,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,689149.0000285797,563878.0000212556,902797.0,125271.00000732401,146384.17000604392,123292.73000507861,213647.9999714203,56990.93199234445,84936.37265376316,88858.79800368064,458276.9999891981,60.290528,2907.9716050250727,122.68888175489558,36982.8455978034,120846.00500497849,107945.43666666668,101774.22100423029,111163.40000000001,64617.653983,14043.093184944837,79873.77767440739,4955.706558,132951.9991746799,5889.285897763551
10740,"Albuquerque, NM Metropolitan Statistical Area",2016.0,251,20.47,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,693842.0000345596,562708.0000507991,904587.0,131133.99998376053,149831.17800707603,117047.00400579303,210744.9999654404,50336.12699171118,83618.42015847666,109241.98700543078,459653.0000264932,58.89310400000001,2766.2377026481927,114.86637043576458,35821.9833643315,123781.09900583245,111974.56333333334,117670.25100571004,116214.17666666665,65397.815321,13719.209387811154,79922.9420856648,5629.836180133339,138785.05865324356,5899.621151231916
10740,"Albuquerque, NM Metropolitan Statistical Area",2017.0,360,22.02,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,698332.0000084337,561823.9999834524,907301.0,136508.00002498142,156051.67300153198,112905.59234191387,208968.9999915663,49859.431997322776,82408.70860841307,97792.85420980814,460655.99998077797,55.511143,2586.7759501028277,109.36135607895605,35167.1778035734,113479.13400102509,113098.70437531357,120706.02286911586,114261.63532898063,67282.67959,13727.993993004087,80137.3249980424,4985.057987,104678.87853719058,6193.9301774832875
10740,"Albuquerque, NM Metropolitan Statistical Area",2018.0,327,18.17,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,702701.0000103661,560655.9999949475,909906.0,142045.0000154186,158576.49100215922,101205.18157951934,207204.999989634,48950.862997456075,80576.32483541835,114501.10487895992,462106.9999801878,57.13728287849737,2511.8103455026435,113.9961771730833,34026.284525642,118478.02000160672,120522.70641841696,131213.59163962404,121958.870237424,69444.87172429328,13830.241777292515,80398.0225554643,5934.622576,83786.18823149372,6200.811815924497
10740,"Albuquerque, NM Metropolitan Statistical Area",2019.0,254,16.87,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,706232.9999909598,559151.9999858802,910726.0,147081.0000050795,169008.33999770577,101728.22019648018,204493.00000904032,39887.9680017695,78233.4770942036,115075.25261724998,462656.99997707515,61.726234000000005,2436.2001867861677,120.36142443270334,32480.160451320604,111184.22999865182,120633.47139218242,131879.37228885206,122082.27560043868,73234.67516514275,13577.330233657132,80726.7497624007,5907.5998819999995,65431.67294127183,7503.035346877929
10740,"Albuquerque, NM Metropolitan Statistical Area",2020.0,272,19.38,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,713671.9999760138,559966.9999610613,915927.0,153705.0000149526,173594.9069941381,111266.4545986703,202255.0000239861,43558.538005033064,75990.13250992505,117863.31173484126,465197.0000088255,70.60892055117313,2371.080973625437,125.92357672843558,32074.794805270096,120540.03899604443,137900.46286732875,130765.56888790372,126363.11863689448,74846.45692294321,13795.392239584868,81433.7368348388,6222.676166,66575.5703571278,7532.894633112838
10740,"Albuquerque, NM Metropolitan Statistical Area",2021.0,332,22.09,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,718412.0000107542,559121.999974121,918018.0,159290.00003663328,183504.86200229058,112194.6590878392,199605.9999892458,39448.059997580895,58168.79720410378,118926.72589662627,466573.00002028124,79.24069972384507,2325.4797374998525,128.93856958414975,30627.350995264802,116527.00300156265,139843.26334111008,137739.45718212955,129268.95935393202,76956.32434508331,13589.287932966967,81629.39763186719,6471.018078,73581.38458456106,7542.335018471312
10740,"Albuquerque, NM Metropolitan Statistical Area",2022.0,251,21.5,%,Crude Prevalence,BERNALILLO; SANDOVAL; TORRANCE; VALENCIA,35001; 35043; 35057; 35061,725357.0000066174,560543.9999957556,923630.0,164813.0000108618,213458.00300155155,107677.24200098417,198272.9999933826,33040.227998675604,57248.452493170655,116757.23625634168,469301.9999863172,86.4365732966307,2251.6078181123726,139.11791060500047,27323.2039885954,171723.33500147623,135772.37545992306,142575.25600130422,121732.72448792291,84973.95759263144,13604.770874125941,82276.88517171399,6739.247582,73131.42520040243,7579.911075606601
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2011.0,190,20.59,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,631146.667,507590.995,816012.0,123555.67199999999,174990.517134,135992.901739,184865.333,24974.250197,52683.32122900001,108036.992052,416897.68700000003,0.0,24482.62593826923,103.386404,40602.136,158619.859917,97921.01666666666,87644.863457,101219.82333333333,52149.148954000004,9749.536859834123,157443.539,2027.4649920000002,65794.536879,2208.332807
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2012.0,242,18.24,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,631146.667,507590.995,816012.0,123555.67199999999,184265.958598,125123.097778,184865.333,30922.867932999998,54722.46420442732,104876.216123,416897.68700000003,23.25754579,24482.62593826923,102.64803586892195,43096.7037696257,158061.097224,99898.51333333334,90656.878099,96936.43,50811.322622299995,9749.536859834123,157443.539,1787.567599,71204.62604500001,2039.2440314562468
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2013.0,195,19.18,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,640648.9999880214,513468.9999925659,824916.0,127179.9999954555,187044.15899642126,128288.47399774106,184267.0000119786,31590.666001592082,55627.99177524548,107030.4529980053,422703.0000015399,26.947924447155366,23982.26454295805,96.92892609540775,19880.624715184502,160444.7999970303,101015.37,88341.22899815481,99386.66,48288.2785494,10413.584411516553,137509.6414145706,2147.6191440000002,74942.44799918492,1982.1438599900048
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2014.0,186,18.45,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,644987.9999961783,513216.99998389906,827171.0,131771.0000122794,182860.22099861281,126163.20399924328,182183.0000038216,30030.114000525256,56001.835576684054,112116.0489993513,423738.1627098143,27.05474748575626,0.0,97.16912514915467,21325.3560624153,166373.80599880524,100968.32333333333,87924.96599909318,98293.05666666667,48423.4915842,10385.675023271144,137465.27618596872,2451.043909,75532.6870962867,1903.8617300283445
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2015.0,139,17.03,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,647112.9999963874,511534.99998504884,827048.0,135578.0000113386,189125.22299885738,126545.49499963954,179935.0000036126,31574.086000144634,56175.604066544394,112484.48399933972,422491.0000172984,27.59353,7506.309641998412,89.42254233537575,21834.5889584324,153981.51999900208,100956.15666666668,88220.59699930683,98278.07333333333,50058.5108363,10583.559592988753,137313.3713037835,2633.259947,76535.16322621683,1823.6371373289317
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2016.0,117,19.44,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,650917.0000000077,511663.9999971433,829835.0,139253.0000028644,187205.66500008298,114521.35200019839,178917.9999999923,29560.284999073112,57040.46158839978,112713.7169999232,424103.99997814733,25.593816,6494.366996401088,82.36359155330032,22448.6071551472,156849.28699949564,106311.40333333332,96530.74800036137,98750.56999999998,51048.563555,10641.699799053118,137303.7528477662,2450.6342300008487,75619.48671396817,1831.2952981861356
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2017.0,154,19.19,%,Crude Prevalence,WARREN; CARBON; LEHIGH; NORTHAMPTON,34041; 42025; 42077; 42095,653945.0000037495,511653.9999901694,832327.0,142291.00001358002,194662.65000103973,109038.65166473603,178381.9999962505,28672.839999717304,57833.53708823702,119706.62405118073,424993.0000021407,21.465843,6103.7489733333405,78.95717792748678,22595.5165612314,151886.34200120746,104089.16551283079,98017.42822372945,96997.38539650833,50606.52873799999,10503.281677854802,137306.0051349961,2433.7885669999996,63825.589980288234,1626.9396324004251
11260,"Anchorage, AK Metropolitan Statistical Area",2011.0,241,17.54,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,276129.70900000003,248719.998,374553.0,27409.711,74071.419735,58399.185228,98423.291,10178.969077000002,28209.733586000002,49694.181724,183573.044,25.309652,12751.580116678655,55.901125,17944.814,60960.590914,38633.68666666667,36882.397352,43922.323333333334,27108.017442,4395.286509553474,68165.24100000001,2549.323455,54654.508776,0.0
11260,"Anchorage, AK Metropolitan Statistical Area",2012.0,289,17.96,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,276129.70900000003,248719.998,374553.0,27409.711,73464.251438,55770.62063600001,98423.291,12469.421777,28146.813897537628,50842.944726,183573.044,23.935085980000004,12751.580116678655,51.51750958135615,19400.5773012839,62094.106255000006,38633.68666666667,34993.733555,43922.323333333334,26509.458667699997,4395.286509553474,68165.24100000001,2626.0180870000004,60203.259954000016,3044.3882035076927
11260,"Anchorage, AK Metropolitan Statistical Area",2013.0,266,16.47,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,285554.000005122,255558.00000754022,387516.0,29995.9999975818,75955.0210013993,55303.18500109321,101961.999994878,13092.08899932194,29184.58040529124,53267.70500094127,190301.9999885254,23.151090960325323,12464.571579434574,38.84746408703818,8074.4419526912,64204.4570011715,38992.313333333324,36901.52200067515,45144.426666666666,26172.0100032,4967.586961566577,58412.3183314598,3100.402658,57099.73900184182,2621.163010974904
11260,"Anchorage, AK Metropolitan Statistical Area",2014.0,308,16.1,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,291527.9999936265,259247.000009985,392535.0,32280.9999836415,77699.33899841049,52880.810999123525,101007.00000637349,12876.492000818173,30047.910908916267,53797.233998818534,192850.273654077,23.440398547590178,0.0,39.398771281382636,7494.189814293,62607.60599874309,40192.75,36982.78399921277,44431.183333333334,26508.556737,4917.906175689304,59532.7956147145,3016.590135,59394.597898541055,2508.501916675482
11260,"Anchorage, AK Metropolitan Statistical Area",2015.0,184,16.55,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,294196.9999906954,259958.99997414724,396142.0,34238.000016548205,80909.78599751869,53416.393998582265,101945.00000930461,10872.852000941682,29700.289011499648,54288.778998277834,192032.9999911182,21.422416000000002,2158.839453206081,33.09707154607808,7394.1803879042,55915.27899834282,40566.12,37325.28899884021,44844.846666666665,27281.457700799998,4930.373439270951,60266.360524511605,2875.734888,60703.80710722853,2477.28808998086
11260,"Anchorage, AK Metropolitan Statistical Area",2016.0,171,18.16,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,297161.9999901486,261070.9999822048,398892.0,36091.0000079438,81584.94399726126,51243.95199820796,101730.0000098514,14151.234001353245,30458.92225828839,67958.65799777934,192837.00000558238,22.24007,2061.4716124948677,32.622864254357864,7776.204013518201,56643.65999805763,37882.46666666666,35730.55599881368,40541.746666666666,28235.316084,4871.057277212557,61621.7350402006,3142.5069751033784,57552.59721006747,2477.781983602388
11260,"Anchorage, AK Metropolitan Statistical Area",2017.0,199,19.64,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,298403.000018257,260394.00002871145,399790.0,38008.9999895455,82926.1540050818,47005.4488832421,101386.999981743,12407.41999776471,30618.504027415427,66270.86765904723,192836.999993755,24.290685000000003,1881.2625881187078,31.852737946441586,7670.0529819435,51888.50700318388,43764.40007135447,39134.43958342005,46127.79130833335,28515.128815,4987.136813260954,63142.36331076249,2926.63838,51822.28535837483,2498.020422164552
11260,"Anchorage, AK Metropolitan Statistical Area",2018.0,161,20.0,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,300227.0000017722,259836.9999962892,402557.0,40390.000005483,85971.1720003417,47686.28026144128,102329.99999822781,10437.659999819236,29800.238354851546,60382.96271061689,195887.9999973971,26.974185567988194,1815.9108975529455,33.54278450556553,7478.2684012873,54671.56200016195,43597.07101079565,40223.26241344672,47370.93470564607,29616.811422090028,5228.388144084693,64766.2623593509,2893.8105649999998,42410.465518765835,2493.8137756778387
11260,"Anchorage, AK Metropolitan Statistical Area",2019.0,184,17.21,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,299925.999999898,257239.9999861584,400888.0,42686.0000137396,89271.28600001112,47702.00421263696,100962.000000102,12461.974000007964,28039.5106998647,60374.3677656135,195299.9999991396,29.219916000000005,1729.9733762159767,35.386359094707274,8294.643818224,55048.1800000117,43455.99551328047,40207.079167398944,47203.47988332643,30824.103471776823,4986.502764318837,65698.1947987388,2893.432132,39784.19173896518,2963.155853797268
11260,"Anchorage, AK Metropolitan Statistical Area",2020.0,201,16.62,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,298948.9999917406,253801.9999949584,399148.0,45146.9999967822,97113.28199736713,46902.78923924131,100199.00000825939,12037.499000998647,27779.252795935914,63885.66759652573,194897.0000017754,30.40367922283987,1448.8224601915217,36.5407713169589,7937.369036703601,56080.02399853552,43188.02832978576,43416.2165059549,47399.87049991719,29824.507580526617,5028.805645405514,66124.34024263259,2909.8423980000002,38961.20265061859,2934.788254033714
11260,"Anchorage, AK Metropolitan Statistical Area",2021.0,384,20.38,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,298534.0000054361,251021.99999362222,396317.0,47512.0000118139,93665.47600145849,53219.2860361975,97782.9999945639,11270.659999476979,20503.855467703954,54300.62163772684,193641.0000117669,32.882420922121916,1142.0153106557293,38.922097223300256,7363.066036105301,53083.4020007813,53399.496857962244,44289.186235736626,50829.83352341092,29469.99188460287,4713.104258464014,66334.2518604341,3002.9065140000002,37203.227628270215,2899.172722464
11260,"Anchorage, AK Metropolitan Statistical Area",2022.0,509,21.39,%,Crude Prevalence,ANCHORAGE; MATANUSKA-SUSITNA,2020; 2170,299971.0000056375,250411.0000226631,397308.0,49559.9999829744,93148.17900179297,49554.69300107804,97336.9999943625,8904.824999468681,18393.72987930254,62477.42108288211,193910.0000063426,33.40274704264103,887.8734174546189,39.26810369641631,6915.936566273,64258.731001318505,52725.65982107824,47277.90100094395,46521.476593935695,30861.911718347917,4609.57190367116,67250.5625310839,3157.211056,33659.50760472024,2890.0624748465348
